term,grammar_category,polarity,polarity_target,polarity_classification
a-vontade,N,1.0,N0,MAN
abafado,Adj,-1.0,N0,JALC
abafante,Adj,-1.0,N0,MAN
abaixado,Adj,-1.0,N0,JALC
abalado,Adj,-1.0,N0,JALC
abalizado,Adj,1.0,N0,JALC
abalroado,Adj,-1.0,N0,MAN
abalroar,V,1.0,N0:N1,MAN
abanar,V,1.0,N0:N1,MAN
abandalhado,Adj,-1.0,N0,MAN
abandalhamento,N,-1.0,N0,MAN
abandonado,Adj,-1.0,N0,JALC
abandonar,V,-1.0,N0:N1,MAN
abarcante,Adj,0.0,N0,MAN
abarrotado,Adj,-1.0,N0,JALC
abastado,Adj,1.0,N0,MAN
abastecido,Adj,0.0,N0,JALC
abater,V,1.0,N0:N1,MAN
abatido,Adj,-1.0,N0,MAN
abelhudo,Adj,-1.0,N0,MAN
abencoado,Adj,1.0,N0,JALC
aberracao,N,-1.0,N0,MAN
aberrante,Adj,-1.0,N0,MAN
aberrativo,Adj,-1.0,N0,MAN
aberto,Adj,1.0,N0,JALC
abespinhado,Adj,-1.0,N0,JALC
abestalhado,Adj,-1.0,N0,JALC
abilolado,Adj,-1.0,N0,JALC
abjecao,N,-1.0,N0,MAN
abjeccao,N,-1.0,N0,MAN
abjecto,Adj,-1.0,N0,MAN
abjeto,Adj,-1.0,N0,JALC
abnegado,Adj,1.0,N0,MAN
abobado,Adj,-1.0,N0,JALC
abobalhado,Adj,-1.0,N0,JALC
abolicionista,Adj,0.0,N0,MAN
abolido,Adj,-1.0,N0,JALC
abominador,Adj,-1.0,N0,MAN
abominando,Adj,-1.0,N0,JALC
abominar,V,0.0,N0:N1,MAN
abominavel,Adj,-1.0,N0,JALC
abonado,Adj,1.0,N0,MAN
abonatorio,Adj,1.0,N0,MAN
abonecado,Adj,0.0,N0,MAN
aborrecer-se,V,-1.0,N0,MAN
aborrecer,V,1.0,N0:N1,MAN
aborrecido,Adj,-1.0,N0,JALC
abortado,Adj,-1.0,N0,JALC
abracado,Adj,1.0,N0,JALC
abrasileirado,Adj,0.0,N0,MAN
abrigado,Adj,0.0,N0,JALC
abrilhantado,Adj,1.0,N0,JALC
abrir a alma,IDIOM,1.0,N0,MAN
abrir o coracao,IDIOM,1.0,N0,MAN
abrir os olhos,IDIOM,1.0,N0,MAN
abrupto,Adj,-1.0,N0,MAN
abrutalhado,Adj,-1.0,N0,MAN
absentista,Adj,-1.0,N0,MAN
absolutista,Adj,0.0,N0,MAN
absoluto,Adj,0.0,N0,JALC
absolvido,Adj,0.0,N0,JALC
absorvente,Adj,1.0,N0,JALC
abstemico,Adj,1.0,N0,JALC
abstemio,Adj,1.0,N0,MAN
abstencionista,Adj,0.0,N0,MAN
abstinente,Adj,0.0,N0,MAN
abstracto,Adj,-1.0,N0,JALC
abstraido,Adj,-1.0,N0,JALC
abstrato,Adj,-1.0,N0,JALC
abstrusidade,N,-1.0,N0,MAN
abstruso,Adj,-1.0,N0,MAN
absurdo,Adj,-1.0,N0,MAN
abulia,N,-1.0,N0,MAN
abulico,Adj,-1.0,N0,MAN
aburguesado,Adj,0.0,N0,MAN
abusado,Adj,-1.0,N0,JALC
abusador,Adj,-1.0,N0,MAN
abusar,V,-1.0,N0:N1,MAN
abusivo,Adj,-1.0,N0,MAN
acabado,Adj,-1.0,N0,MAN
acabadote,Adj,-1.0,N0,MAN
acabrunhado,Adj,-1.0,N0,MAN
acaciano,Adj,-1.0,N0,MAN
academico,Adj,0.0,N0,JALC
acalorado,Adj,0.0,N0,MAN
acambarcador,Adj,-1.0,N0,JALC
acanhado,Adj,-1.0,N0,MAN
acanhamento,N,-1.0,N0,MAN
acanhar-se,V,-1.0,N0,MAN
acatado,Adj,1.0,N0,JALC
acatador,Adj,0.0,N0,JALC
acautelado,Adj,0.0,N0,JALC
acefalo,Adj,-1.0,N0,MAN
aceitavel,Adj,1.0,N0,JALC
aceite,Adj,0.0,N0,JALC
aceito,Adj,0.0,N0,JALC
acelerado,Adj,0.0,N0,MAN
acentuado,Adj,0.0,N0,JALC
acerado,Adj,-1.0,N0,MAN
acerbidade,N,-1.0,N0,MAN
acerbo,Adj,-1.0,N0,MAN
acerrimo,Adj,-1.0,N0,MAN
acertado,Adj,1.0,N0,JALC
acertar na mosca,IDIOM,1.0,N0,MAN
acertar na mouche,IDIOM,1.0,N0,MAN
aceso,Adj,0.0,N0,JALC
acessivel,Adj,1.0,N0,MAN
achacado,Adj,-1.0,N0,JALC
achado,Adj,0.0,N0,JALC
achar piada a,IDIOM,0.0,N0:N1,MAN
achatado,Adj,-1.0,N0,JALC
achegado,Adj,1.0,N0,JALC
achincalhar,V,-1.0,N0:N1,MAN
achinesado,Adj,0.0,N0,MAN
acidentado,Adj,-1.0,N0,JALC
aciganado,Adj,-1.0,N0,MAN
acintoso,Adj,-1.0,N0,JALC
acirrado,Adj,-1.0,N0,JALC
aclamado,Adj,0.0,N0,JALC
aclamar,V,0.0,N0:N1,MAN
acobardado,Adj,-1.0,N0,JALC
acobardar-se,V,-1.0,N0,MAN
acobertado,Adj,-1.0,N0,JALC
acobreado,Adj,0.0,N0,JALC
acocado,Adj,-1.0,N0,JALC
acoitado,Adj,-1.0,N0,JALC
acolhedor,Adj,1.0,N0,MAN
acolhido,Adj,0.0,N0,JALC
acomodadico,Adj,-1.0,N0,MAN
acomodar-se,V,-1.0,N0,MAN
acomodaticio,Adj,0.0,N0,MAN
acompanhado,Adj,0.0,N0,JALC
acompanhador,Adj,0.0,N0,JALC
acompanhante,Adj,0.0,N0,JALC
aconchegado,Adj,1.0,N0,MAN
acordado,Adj,0.0,N0,MAN
acordar com o rabo para o ar,IDIOM,-1.0,N0,MAN
acordar com os pes de fora,IDIOM,-1.0,N0,MAN
acorrentado,Adj,-1.0,N0,JALC
acorrentar-se,V,-1.0,N0,MAN
acorrentar,V,1.0,N0:N1,MAN
acossado,Adj,-1.0,N0,JALC
acossar,V,1.0,N0:N1,MAN
acostumado,Adj,0.0,N0,JALC
acotovelar,V,0.0,N0:N1,MAN
acougueiro,Adj,-1.0,N0,JALC
acre,Adj,-1.0,N0,MAN
acreditado,Adj,1.0,N0,JALC
acreditar,V,0.0,N0:N1,MAN
acriancado,Adj,-1.0,N0,MAN
acrisolado,Adj,0.0,N0,JALC
acritico,Adj,-1.0,N0,MAN
activo,Adj,1.0,N0,MAN
actualista,Adj,0.0,N0,MAN
acudir,V,1.0,N0:N1,MAN
aculturado,Adj,-1.0,N0,MAN
acurado,Adj,1.0,N0,JALC
acusado,Adj,-1.0,N0,JALC
acusar,V,0.0,N0:N1,MAN
acutilante,Adj,-1.0,N0,MAN
adamico,Adj,-1.0,N0,JALC
adaptado,Adj,0.0,N0,JALC
adepto,Adj,1.0,N0,MAN
adequado,Adj,1.0,N0,JALC
adestrado,Adj,1.0,N0,MAN
adicional,Adj,0.0,N0,JALC
adiposo,Adj,-1.0,N0,MAN
adjacente,Adj,0.0,N0,JALC
administrado,Adj,0.0,N0,JALC
admirar,V,0.0,N0:N1,MAN
admiravel,Adj,1.0,N0,MAN
admitido,Adj,0.0,N0,JALC
admoestador,Adj,-1.0,N0,MAN
adoentado,Adj,-1.0,N0,MAN
adorado,Adj,1.0,N0,JALC
adorando,Adj,1.0,N0,JALC
adorar,V,0.0,N0:N1,MAN
adoravel,Adj,1.0,N0,JALC
adormecido,Adj,-1.0,N0,MAN
adulador,Adj,-1.0,N0,MAN
adulterador,Adj,-1.0,N0,MAN
adulterino,Adj,-1.0,N0,MAN
adulterio,N,-1.0,N0,MAN
adultero,Adj,-1.0,N0,MAN
adulto,Adj,0.0,N0,MAN
adventista,Adj,0.0,N0,MAN
adverso,Adj,-1.0,N0,MAN
aereo,Adj,-1.0,N0,MAN
afabilidade,N,1.0,N0,MAN
afamado,Adj,1.0,N0,MAN
afanado,Adj,-1.0,N0,MAN
afasia,N,-1.0,N0,MAN
afasico,Adj,-1.0,N0,MAN
afastar,V,0.0,N0:N1,MAN
afavel,Adj,1.0,N0,MAN
afectado,Adj,-1.0,N0,JALC
afectar,V,0.0,N0:N1,MAN
afectividade,N,1.0,N0,MAN
afectivo,Adj,1.0,N0,MAN
afecto,N,1.0,N0,MAN
afectuoso,Adj,1.0,N0,MAN
afeicoado,Adj,1.0,N0,JALC
afeito,Adj,0.0,N0,JALC
afeminado,Adj,-1.0,N0,JALC
aferido,Adj,0.0,N0,JALC
aferrado,Adj,0.0,N0,JALC
afetado,Adj,-1.0,N0,JALC
afetividade,N,1.0,N0,MAN
afetivo,Adj,1.0,N0,MAN
afeto,N,1.0,N0,MAN
afetuoso,Adj,1.0,N0,JALC
afiado,Adj,-1.0,N0,JALC
afidalgado,Adj,0.0,N0,MAN
afilado,Adj,0.0,N0,JALC
afilhado,Adj,0.0,N0,JALC
afinado,Adj,1.0,N0,JALC
afincado,Adj,0.0,N0,JALC
afirmativo,Adj,1.0,N0,JALC
aflicao,N,-1.0,N0,MAN
afligido,Adj,-1.0,N0,JALC
afligir-se,V,-1.0,N0,MAN
afligir,V,0.0,N0:N1,MAN
aflitivo,Adj,-1.0,N0,MAN
aflito,Adj,-1.0,N0,MAN
afobado,Adj,-1.0,N0,JALC
afogado,Adj,-1.0,N0,JALC
afogar as magoas,IDIOM,-1.0,N0,MAN
afogar-se em pouca agua,IDIOM,-1.0,N0,MAN
afogar-se,V,-1.0,N0,MAN
afogueado,Adj,0.0,N0,JALC
afoiteza,N,1.0,N0,MAN
afoito,Adj,1.0,N0,MAN
afortunado,Adj,1.0,N0,MAN
afrancesado,Adj,0.0,N0,MAN
afrontado,Adj,-1.0,N0,JALC
afrontar,V,1.0,N0:N1,MAN
afrontoso,Adj,-1.0,N0,JALC
afugentar,V,1.0,N0:N1,MAN
afundado,Adj,-1.0,N0,JALC
afundanco,N,-1.0,N0,MAN
afundar-se,V,-1.0,N0,MAN
afundar,V,1.0,N0:N1,MAN
agachado,Adj,-1.0,N0,JALC
agarotado,Adj,-1.0,N0,MAN
agarrado,Adj,-1.0,N0,MAN
agarrar a oportunidade com unhas e dentes,IDIOM,1.0,N0,MAN
agarrar a oportunidade,IDIOM,1.0,N0,MAN
agarrar o touro pelos cornos,IDIOM,1.0,N0,MAN
agarrar-se ao poder,IDIOM,-1.0,N0,MAN
agasalhado,Adj,0.0,N0,MAN
agastadico,Adj,-1.0,N0,JALC
agastado,Adj,-1.0,N0,JALC
agastar-se,V,-1.0,N0,MAN
agil,Adj,1.0,N0,MAN
agilidade,N,1.0,N0,MAN
agiota,Adj,-1.0,N0,JALC
agir de boa-fe,IDIOM,1.0,N0,MAN
agir de ma-fe,IDIOM,-1.0,N0,MAN
aglomerado,Adj,0.0,N0,JALC
agnostico,Adj,0.0,N0,MAN
agoirento,Adj,-1.0,N0,MAN
agonia,N,-1.0,N0,MAN
agoniado,Adj,-1.0,N0,JALC
agoniante,Adj,-1.0,N0,MAN
agoniar,V,-1.0,N0:N1,MAN
agonizante,Adj,-1.0,N0,MAN
agoureiro,Adj,-1.0,N0,MAN
agourento,Adj,-1.0,N0,MAN
agradado,Adj,1.0,N0,JALC
agradar,V,1.0,N0:N1,MAN
agradavel,Adj,1.0,N0,MAN
agradecer,V,0.0,N0:N1,MAN
agrado,N,1.0,N0,MAN
agravado,Adj,-1.0,N0,JALC
agravar,V,-1.0,N0:N1,MAN
agre,Adj,-1.0,N0,JALC
agredir,V,-1.0,N0:N1,MAN
agregado,Adj,0.0,N0,JALC
agressividade ,N,-1.0,N0,MAN
agressivo,Adj,-1.0,N0,MAN
agressor,Adj,-1.0,N0,MAN
agreste,Adj,-1.0,N0,MAN
agrilhoado,Adj,-1.0,N0,JALC
agrosseirado,Adj,-1.0,N0,MAN
aguado,Adj,-1.0,N0,JALC
aguardado,Adj,0.0,N0,JALC
agucado,Adj,-1.0,N0,JALC
agudo,Adj,0.0,N0,JALC
aguentar-se bem,IDIOM,1.0,N0,MAN
aguentar-se,V,1.0,N0,MAN
aguerrido,Adj,0.0,N0,MAN
airoso,Adj,1.0,N0,MAN
ajanotado,Adj,0.0,N0,MAN
ajudado,Adj,1.0,N0,JALC
ajuizado,Adj,1.0,N0,MAN
alapado,Adj,-1.0,N0,JALC
alarmante,Adj,-1.0,N0,MAN
alarmismo,N,-1.0,N0,MAN
alarmista,Adj,-1.0,N0,MAN
alarve,Adj,-1.0,N0,MAN
alarvice,N,-1.0,N0,MAN
albigense,Adj,0.0,N0,MAN
albino,Adj,-1.0,N0,JALC
alcandorado,Adj,0.0,N0,JALC
alcoolatra,Adj,-1.0,N0,JALC
alcoolico,Adj,-1.0,N0,MAN
alcoolismo,N,-1.0,N0,MAN
alcoolizado,Adj,-1.0,N0,MAN
alcunhado,Adj,0.0,N0,JALC
aldrabao,Adj,-1.0,N0,MAN
alegado,Adj,-1.0,N0,MAN
alegrar-se,V,1.0,N0,MAN
alegre,Adj,1.0,N0,MAN
alegrete,Adj,0.0,N0,MAN
alegria,N,1.0,N0,MAN
alegrote,Adj,0.0,N0,MAN
aleijado,Adj,-1.0,N0,MAN
aleivoso,Adj,-1.0,N0,MAN
alentado,Adj,1.0,N0,MAN
alentador,Adj,1.0,N0,MAN
alento,N,1.0,N0,MAN
alergico,Adj,0.0,N0,MAN
alfabetizado,Adj,0.0,N0,MAN
algemado,Adj,-1.0,N0,JALC
alheado,Adj,-1.0,N0,JALC
alhear-se,V,-1.0,N0:N1,MAN
alheio,Adj,-1.0,N0,MAN
aliado,Adj,0.0,N0,JALC
alicercado,Adj,1.0,N0,JALC
aliciado,Adj,-1.0,N0,JALC
aliciar,V,-1.0,N0:N1,MAN
alienacao mental,N,-1.0,N0,MAN
alienado,Adj,-1.0,N0,MAN
